,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
ELAPSED_TIME,0.006689860462965828,-0.014947595644632794,0.016241860302756816,-0.31836401059608543,-0.03490577183321125,-0.03732585578611571,0.034368460682647504,0.21177927289400855,-0.04084111424365318,0.9818783642319712,1.0,0.9869722752088076,0.9635859376473221,0.03290578699718107,0.13981648697979926,0.04345815190643237,0.030008034752938884,0.04411858444470455,,,0.187687570416827,0.0045502573101466205,0.008435923533200596,-0.10228625118398728,0.0324508973588112
AIR_TIME,0.004891124122157085,-0.01166347593904806,0.019612960888175057,-0.3332263266118176,-0.0216305531207159,-0.026254543523666254,0.01985615149769991,0.07692335946783152,-0.033986255016504395,0.9900251528638545,0.9869722752088076,1.0,0.9789253795328577,0.04114840966309603,0.05397001507039363,0.053845955649002186,0.03755664455093503,-0.006670055672208742,,,0.06386744341083989,0.007572412756974066,0.027125686931519934,-0.0748991375916763,0.006944402832262279
DISTANCE,0.002874556613454766,-0.006916477796602709,0.020441409226258474,-0.34891782743507666,-0.013706169566552155,-0.020814818638666258,0.020002409354236948,0.05882684921479676,-0.03182407401996803,0.9777998329317185,0.9635859376473221,0.9789253795328577,1.0,0.04153230545162829,0.05007845268938908,0.057491484357645464,0.03719907943467565,-0.0268939541630561,0.019586492040695506,-0.03435762158619526,0.026999328262882892,0.008510689997049733,0.03754773690393454,-0.05799585381547014,0.0017196885717757524
WHEELS_ON,-0.006591236091202142,0.0008110309301694333,0.0077358232094469105,-0.014692856945083375,0.699669097808427,0.7153078455910572,0.07420494567576562,-0.040909760525345285,0.7333328075040338,0.03255023148013333,0.03290578699718107,0.04114840966309603,0.04153230545162829,1.0,-0.01737622762948028,0.8760480474854184,0.970300385222118,0.06843913432298832,-0.0027014158045467447,,-0.0549180844090863,-0.008746043338741065,-0.05020216229263768,0.04761829409586257,-0.043358455612713155
TAXI_IN,0.007595733536170405,-0.03000948432286996,0.0009868662307534464,-0.003562256390919284,-0.04778047405682021,-0.042142473191419526,0.03134956210779094,0.012351386301440182,-0.04080271785113929,0.07017642993579866,0.13981648697979926,0.05397001507039363,0.05007845268938908,-0.01737622762948028,1.0,-0.022195343252346914,-0.009061004598624705,0.1503530320392906,0.014192043743564729,,0.2932519372363748,-0.006405761219985024,-0.04683434739581594,-0.03070185542735319,-0.008650086452149281
SCHEDULED_ARRIVAL,-0.00821112698040769,-0.0017692940355284626,0.01629102202588229,-0.025092979713418444,0.7665597292018158,0.766414761252491,0.09278486888253092,-0.050843081970024816,0.7752214550337072,0.04685178803072768,0.04345815190643237,0.053845955649002186,0.057491484357645464,0.8760480474854184,-0.022195343252346914,1.0,0.8631057387538411,0.07870964877852274,-0.004634047674391417,-0.0020860100056315765,-0.07465780374108945,2.2974768629917727e-05,-0.06159931846620347,0.12302149273748086,-0.036860014141298796
ARRIVAL_TIME,-0.00745309475987593,0.0019799202348550603,0.007098856293905213,-0.01101648356838319,0.674740821220018,0.6894941932922406,0.06555333266289624,-0.04220676806311001,0.7074209885227175,0.029704755094958006,0.030008034752938884,0.03755664455093503,0.03719907943467565,0.970300385222118,-0.009061004598624705,0.8631057387538411,1.0,0.060342857639643456,-0.00451504105345329,,-0.05558838381937581,-0.00952475798155021,-0.05193921538325509,0.04076462319344091,-0.04360035967049014
ARRIVAL_DELAY,0.04547853007754998,-0.07947171986465179,-0.006547544113479321,0.03530985681621114,0.08426742611265815,0.15922831533189907,0.9416761330481471,0.27744214602361433,0.15798862083840767,-0.028794458234793683,0.04411858444470455,-0.006670055672208742,-0.0268939541630561,0.06843913432298832,0.1503530320392906,0.07870964877852274,0.060342857639643456,1.0,,,0.24509030469454746,0.007955333767272072,0.5970662465091339,0.5203734188426725,0.3300467325304304
DIVERTED,0.01002609173879358,-0.010393988129225883,0.003898201262443169,0.0050103911093390885,-0.006694508136597085,-0.004855846769538025,0.0235061777763752,0.0156732457323265,-0.004361951561411431,0.020422768922239726,,,0.019586492040695506,-0.0027014158045467447,0.014192043743564729,-0.004634047674391417,-0.00451504105345329,,1.0,-0.009888214933939479,,,,,
CANCELLED,0.05918355292481362,-0.013325500556001357,-0.03406871164749214,0.03643252691622802,0.0017298983737750304,0.00832030707070166,0.041705306999721,0.006291985118293457,0.0056530723981135485,-0.025863871348340395,,,-0.03435762158619526,,,-0.0020860100056315765,,,-0.009888214933939479,1.0,,,,,
AIR_SYSTEM_DELAY,0.0060959945784039085,-0.011028751437402546,-0.001847489638419136,-0.018555407258844494,-0.10484295318508294,-0.09164746068138421,0.06411722628517677,0.4237348641741044,-0.07382423970241535,0.042575239511929465,0.187687570416827,0.06386744341083989,0.026999328262882892,-0.0549180844090863,0.2932519372363748,-0.07465780374108945,-0.05558838381937581,0.24509030469454746,,,1.0,-0.010944912312034266,-0.11074011071894128,-0.1336998736714497,0.033572454408358654
SECURITY_DELAY,-0.00520134814523535,-0.0011734050531891636,0.00857809834009002,-0.006801716802700073,0.0006616824651257286,0.0038831923668511178,0.010367729334664864,-0.008988628136127224,-0.0020658924443796023,0.007026086641521603,0.0045502573101466205,0.007572412756974066,0.008510689997049733,-0.008746043338741065,-0.006405761219985024,2.2974768629917727e-05,-0.00952475798155021,0.007955333767272072,,,-0.010944912312034266,1.0,-0.010935428647261778,-0.009388209956596151,-0.004029640973289147
AIRLINE_DELAY,0.012723834784444348,-0.006618586607807111,0.012256602413846296,0.0017198855217309538,-0.07225062655032281,-0.003803488186626808,0.6156956438829142,-0.054937792837568986,-0.012786246604011342,0.040426634617160236,0.008435923533200596,0.027125686931519934,0.03754773690393454,-0.05020216229263768,-0.04683434739581594,-0.06159931846620347,-0.05193921538325509,0.5970662465091339,,,-0.11074011071894128,-0.010935428647261778,1.0,-0.10334411733272235,-0.05180926086485768
LATE_AIRCRAFT_DELAY,0.007935692239983838,-0.03867687708670934,0.000277300671646274,0.05147285531037445,0.14858857061111322,0.2137543730249866,0.5565246385527259,-0.12772244829541635,0.19086638367577466,-0.06091738906682169,-0.10228625118398728,-0.0748991375916763,-0.05799585381547014,0.04761829409586257,-0.03070185542735319,0.12302149273748086,0.04076462319344091,0.5203734188426725,,,-0.1336998736714497,-0.009388209956596151,-0.10334411733272235,1.0,-0.02619415638771643
WEATHER_DELAY,0.020690665524323804,-0.01092160884240165,-0.008543088814181804,-0.00843125574161364,-0.04296594720828381,-0.025104237975300977,0.2973810205451476,0.130103681528282,-0.028007327198365087,0.01358395059548996,0.0324508973588112,0.006944402832262279,0.0017196885717757524,-0.043358455612713155,-0.008650086452149281,-0.036860014141298796,-0.04360035967049014,0.3300467325304304,,,0.033572454408358654,-0.004029640973289147,-0.05180926086485768,-0.02619415638771643,1.0
